time since last spike last_spike, neuron voltage V, external current I
(0.5, 0.0, 0.0)
(1.0, 0.074999999999999997, 1.5)
(1.5, 0.18718653765389909, 2.3187307530779817)
(2.0, 0.31985921537476802, 2.8406400920712787)
(2.5, 0.4611880000201336, 3.1464349082820791)
(3.0, 0.60299439284257117, 3.2973158564688863)
(3.5, 0.73981453349330317, 3.3393972058572117)
(4.0, 0.86818207039229867, 3.3071652714732127)
(4.5, 0.98608190425224596, 3.2261787475912453)
(-1.5, 0, 3.1151721439572428)
(-1.0, 0, 2.9876899939942785)
(-0.5, 0, 2.8533528323661272)
(0.0, 0, 2.7188347419856727)
(0.5, 0.12943077197364752, 2.5886154394729504)
(1.0, 0.24623705921428218, 2.4655565167863402)
(1.5, 0.35149225009122065, 2.3513408767530515)
(2.0, 0.4462579388625576, 2.2468060255179592)
(2.5, 0.53155480510212272, 2.1521952636538595)
(3.0, 0.60834434431329376, 2.0673455893255435)
(3.5, 0.67751847730019232, 1.991827004051266)
(4.0, 0.73989478669854003, 1.9250446652671465)
(4.5, 0.79621568625234718, 1.8663127777746835)
(5.0, 0.84715025760123142, 1.8149071132300318)
(5.5, 0.89329781861454516, 1.7701014778675055)
(6.0, 0.93519253879014652, 1.7311922221265725)
(6.5, 0.9733086083094632, 1.6975139291764807)
(-1.5, 0, 1.6684486749771366)
(-1.0, 0, 1.64343067493978)
(-0.5, 0, 1.6219476854505419)
(0.0, 0, 1.6035401840615222)
(0.5, 0.079389954380794936, 1.5877990876158987)
(1.0, 0.15413858492675472, 1.5743625652999909)
(1.5, 0.22457727316667536, 1.5629123497251678)
(2.0, 0.29100690114541988, 1.5531698327415659)
(2.5, 0.35370116335010293, 1.5448921452390805)
(3.0, 0.41290952293393396, 1.5378683550267234)
(3.5, 0.46885984022695765, 1.5319158687944081)
(4.0, 0.52176070267068775, 1.5268770891015604)
(4.5, 0.57180348514524304, 1.5226163521617941)
(5.0, 0.61916416861151802, 1.5190171544707431)
(5.5, 0.66400494338995275, 1.5159796641802117)
(6.0, 0.70647562147626008, 1.5134185051161004)
(6.5, 0.74671488022088994, 1.5112607963688578)
(7.0, 0.78485135759062108, 1.5094444276155117)
(7.5, 0.8210046171674753, 1.507916549127706)
(8.0, 0.85528599907431158, 1.5066322553042009)
(8.5, 0.88779937117979102, 1.5055534411839007)
(9.0, 0.91864179324502682, 1.5046478124845062)
(9.5, 0.94790410513683354, 1.5038880310811618)
